DatasetName Sushi_xsc[pb] Sushi_xsc_err[pb]
HToZATo2L2B_717p96_34p86_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_40p51_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_47p08_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_54p71_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_63p58_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_73p89_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_85p86_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_99p78_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_116p19_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_135p31_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_157p56_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_183p48_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_213p73_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_249p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_291p34_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_341p02_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_400p03_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_475p80_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_717p96_577p65_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000729505112 2.46286345e-06
HToZATo2L2B_846p11_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_34p93_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_40p68_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_47p37_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_55p16_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_64p24_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_74p80_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_87p10_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_101p43_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_118p11_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_137p54_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_160p17_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_186p51_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_217p19_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_252p91_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_294p51_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_345p53_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_405p40_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_475p64_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_558p06_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_846p11_654p75_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000321700145 9.74536227e-07
HToZATo2L2B_997p14_30p00_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_34p93_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_40p68_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
HToZATo2L2B_997p14_47p37_20p00_bbH4F_TuneCP5_13TeV-amcatnlo_pythia8 0.000137986172 3.70919549e-07
